epoch,loss,train,val,test,variant,noise_mode,noise_p_delete,noise_p_add,noise_max_additions
156,0.2639390826225281,1.0,0.794,0.807,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
157,0.26893654465675354,1.0,0.792,0.806,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
158,0.26986783742904663,1.0,0.79,0.806,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
159,0.2614801824092865,1.0,0.792,0.812,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
160,0.28147587180137634,1.0,0.792,0.818,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
161,0.2395579218864441,1.0,0.798,0.82,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
162,0.24791286885738373,1.0,0.802,0.821,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
163,0.28910544514656067,1.0,0.804,0.821,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
164,0.2583298981189728,1.0,0.796,0.814,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
165,0.26821935176849365,1.0,0.788,0.816,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
166,0.23918043076992035,1.0,0.786,0.813,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
167,0.23840546607971191,1.0,0.792,0.81,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
168,0.2586144208908081,1.0,0.79,0.81,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
169,0.25753387808799744,1.0,0.79,0.813,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
170,0.26081719994544983,1.0,0.792,0.813,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
171,0.24509917199611664,1.0,0.796,0.814,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
172,0.2771100699901581,1.0,0.794,0.812,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
173,0.2642246186733246,1.0,0.796,0.816,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
174,0.27059507369995117,1.0,0.794,0.816,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
175,0.2385474592447281,1.0,0.796,0.816,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
176,0.2449699342250824,1.0,0.792,0.815,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
177,0.26427677273750305,1.0,0.792,0.813,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
178,0.2678079307079315,1.0,0.794,0.812,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
179,0.23064176738262177,1.0,0.798,0.816,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
180,0.2726339101791382,1.0,0.802,0.817,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
181,0.22136251628398895,1.0,0.804,0.817,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
182,0.24093571305274963,1.0,0.806,0.817,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
183,0.21741054952144623,1.0,0.798,0.816,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
184,0.24697257578372955,1.0,0.798,0.814,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
185,0.22236576676368713,1.0,0.796,0.816,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
186,0.2334854155778885,1.0,0.798,0.816,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
187,0.23097406327724457,1.0,0.798,0.816,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
188,0.24153271317481995,1.0,0.796,0.812,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
189,0.25657418370246887,1.0,0.794,0.812,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
190,0.23909293115139008,1.0,0.796,0.815,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
191,0.22028441727161407,1.0,0.794,0.815,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
192,0.22956447303295135,1.0,0.796,0.816,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
193,0.24415867030620575,1.0,0.8,0.814,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
194,0.22317108511924744,1.0,0.798,0.815,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
195,0.22744008898735046,1.0,0.798,0.815,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
196,0.24224919080734253,1.0,0.798,0.815,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
197,0.24793276190757751,1.0,0.796,0.812,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
198,0.24180352687835693,1.0,0.798,0.815,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
199,0.22207015752792358,1.0,0.802,0.816,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
200,0.2572382390499115,1.0,0.8,0.813,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
