epoch,loss,train,val,test,variant,noise_mode,noise_p_delete,noise_p_add,noise_max_additions
176,0.27618247270584106,1.0,0.792,0.806,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
177,0.3015559911727905,1.0,0.794,0.806,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
178,0.2742358148097992,1.0,0.792,0.803,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
179,0.3003922402858734,1.0,0.792,0.806,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
180,0.25507837533950806,1.0,0.796,0.808,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
181,0.2591065466403961,1.0,0.794,0.811,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
182,0.25858554244041443,1.0,0.79,0.813,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
183,0.27438706159591675,1.0,0.792,0.813,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
184,0.24900341033935547,1.0,0.796,0.815,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
185,0.27452483773231506,1.0,0.798,0.812,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
186,0.29093238711357117,1.0,0.794,0.812,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
187,0.26088783144950867,1.0,0.788,0.809,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
188,0.2897750437259674,1.0,0.786,0.804,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
189,0.2588787376880646,1.0,0.784,0.805,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
190,0.3025478720664978,1.0,0.788,0.812,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
191,0.25751081109046936,1.0,0.788,0.815,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
192,0.2871667444705963,1.0,0.79,0.813,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
193,0.26455363631248474,1.0,0.784,0.81,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
194,0.23643027245998383,1.0,0.786,0.811,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
195,0.2370852828025818,1.0,0.788,0.812,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
196,0.314692884683609,1.0,0.8,0.809,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
197,0.29507026076316833,1.0,0.8,0.808,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
198,0.26389405131340027,1.0,0.796,0.806,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
199,0.25789085030555725,1.0,0.792,0.807,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
200,0.24103428423404694,1.0,0.788,0.812,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
