seed,summary_type,model_variant,attack_variant,threshold,config_label,mode,p_delete,p_add,max_additions,evaluated_nodes,purified_plain_correct_fraction,correct_fraction,positive_certified_fraction,max_reported_radius,mean_pA_lower
42,fixed-config,clean-training,clean-training,0.01,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,11,0.45454545454545453,0.45454545454545453,0.18181818181818182,1,0.9845344840505864
42,fixed-config,clean-training,clean-training,0.01,sparse-asym-0.02,sparse-edge-flip,0.02,1e-05,96,11,0.45454545454545453,0.45454545454545453,0.18181818181818182,1,0.9752325309921734
42,fixed-config,clean-training,clean-training,0.01,sparse-asym-0.05,sparse-edge-flip,0.05,2e-05,160,11,0.45454545454545453,0.45454545454545453,0.18181818181818182,1,0.9558096047289509
42,fixed-config,clean-training,clean-training,0.01,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,11,0.45454545454545453,0.09090909090909091,0.09090909090909091,4,0.9962067613450979
42,fixed-config,clean-training,clean-training,0.01,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,11,0.45454545454545453,0.09090909090909091,0.09090909090909091,4,0.9962067613450979
42,fixed-config,clean-training,clean-training,0.01,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,11,0.45454545454545453,0.09090909090909091,0.09090909090909091,5,0.9962067613450979
42,fixed-config,clean-training,clean-training,0.02,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,11,0.45454545454545453,0.45454545454545453,0.18181818181818182,1,0.9855295529094747
42,fixed-config,clean-training,clean-training,0.02,sparse-asym-0.02,sparse-edge-flip,0.02,1e-05,96,11,0.45454545454545453,0.45454545454545453,0.18181818181818182,1,0.9760388221136708
42,fixed-config,clean-training,clean-training,0.02,sparse-asym-0.05,sparse-edge-flip,0.05,2e-05,160,11,0.45454545454545453,0.45454545454545453,0.2727272727272727,1,0.9531275418210061
42,fixed-config,clean-training,clean-training,0.02,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,11,0.45454545454545453,0.09090909090909091,0.09090909090909091,4,0.9962067613450979
42,fixed-config,clean-training,clean-training,0.02,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,11,0.45454545454545453,0.09090909090909091,0.09090909090909091,4,0.9962067613450979
42,fixed-config,clean-training,clean-training,0.02,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,11,0.45454545454545453,0.09090909090909091,0.09090909090909091,5,0.9962067613450979
42,fixed-config,clean-training,clean-training,0.05,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,11,0.6363636363636364,0.6363636363636364,0.09090909090909091,1,0.9829522168255438
42,fixed-config,clean-training,clean-training,0.05,sparse-asym-0.02,sparse-edge-flip,0.02,1e-05,96,11,0.6363636363636364,0.6363636363636364,0.09090909090909091,1,0.9720849380835876
42,fixed-config,clean-training,clean-training,0.05,sparse-asym-0.05,sparse-edge-flip,0.05,2e-05,160,11,0.6363636363636364,0.6363636363636364,0.18181818181818182,1,0.9491365211196353
42,fixed-config,clean-training,clean-training,0.05,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,11,0.6363636363636364,0.09090909090909091,0.09090909090909091,4,0.9962067613450979
42,fixed-config,clean-training,clean-training,0.05,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,11,0.6363636363636364,0.09090909090909091,0.09090909090909091,4,0.9962067613450979
42,fixed-config,clean-training,clean-training,0.05,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,11,0.6363636363636364,0.09090909090909091,0.09090909090909091,5,0.9962067613450979
42,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,12,0.5833333333333334,0.5833333333333334,0.25,1,0.9865031464290929
42,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,sparse-asym-0.02,sparse-edge-flip,0.02,1e-05,96,12,0.5833333333333334,0.5833333333333334,0.25,1,0.9780865946615713
42,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,sparse-asym-0.05,sparse-edge-flip,0.05,2e-05,160,12,0.5833333333333334,0.5833333333333334,0.3333333333333333,1,0.9621727261682929
42,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,12,0.5833333333333334,0.3333333333333333,0.3333333333333333,4,0.9962067613450979
